Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,month,day,hour,Latitude,Longitude
43,2020-01-03 03:00:00,01-02-2020 18:00,2020-01-03 09:30:00,Delhi,172,8,40,M,Poison,Fire Accident,10,Yes,17-03-2020 03:00,1,3,9,28.6138954,77.2090057
45,2020-01-05 19:00:00,01-02-2020 20:00,2020-01-03 06:22:00,Kolkata,387,0,44,F,Blunt Object,Fire Accident,10,Yes,12-01-2020 19:00,1,5,6,22.5726459,88.3638953
48,2020-01-05 17:00:00,01-02-2020 23:00,2020-01-03 03:42:00,Lucknow,128,8,38,F,Blunt Object,Fire Accident,14,Yes,14-03-2020 17:00,1,5,3,26.8381,80.9346001
51,2020-01-03 05:00:00,01-03-2020 02:00,2020-01-03 17:10:00,Nagpur,573,2,54,F,Other,Other Crime,12,Yes,13-04-2020 05:00,1,3,17,21.1498134,79.0820556
52,2020-01-05 12:00:00,01-03-2020 03:00,2020-01-03 19:13:00,Kolkata,260,2,38,F,Blunt Object,Other Crime,5,Yes,14-04-2020 12:00,1,5,19,22.5726459,88.3638953
53,2020-01-05 00:00:00,01-03-2020 04:00,2020-01-03 22:01:00,Ghaziabad,211,14,29,M,Poison,Other Crime,15,Yes,20-01-2020 00:00,1,5,22,28.7749966,77.4586967
57,2020-01-06 01:00:00,01-03-2020 08:00,2020-01-03 20:16:00,Kanpur,188,16,67,F,Firearm,Violent Crime,8,Yes,20-07-2020 01:00,1,6,20,26.4609135,80.3217588
60,2020-01-05 18:00:00,01-03-2020 11:00,2020-01-04 05:33:00,Thane,352,17,53,F,Other,Other Crime,6,Yes,31-03-2020 18:00,1,5,5,19.3653598,73.3685437
62,2020-01-05 21:00:00,01-03-2020 13:00,2020-01-04 03:32:00,Surat,359,6,30,M,Explosives,Other Crime,9,Yes,09-02-2020 21:00,1,5,3,21.2094892,72.8317058
63,2020-01-03 20:00:00,01-03-2020 14:00,2020-01-04 09:27:00,Chennai,495,9,56,M,Explosives,Other Crime,5,Yes,15-03-2020 20:00,1,3,9,13.0836939,80.270186
64,2020-01-06 06:00:00,01-03-2020 15:00,2020-01-03 23:24:00,Thane,259,12,19,F,Blunt Object,Other Crime,16,Yes,20-03-2020 06:00,1,6,23,19.3653598,73.3685437
66,2020-01-06 14:00:00,01-03-2020 17:00,2020-01-04 11:49:00,Lucknow,409,7,45,F,Other,Other Crime,3,Yes,15-03-2020 14:00,1,6,11,26.8381,80.9346001
68,2020-01-04 20:00:00,01-03-2020 19:00,2020-01-04 08:46:00,Visakhapatnam,420,2,22,M,Knife,Other Crime,17,Yes,02-05-2020 20:00,1,4,8,17.6935526,83.2921297
69,2020-01-06 09:00:00,01-03-2020 20:00,2020-01-04 02:24:00,Hyderabad,469,14,59,F,Explosives,Other Crime,8,Yes,17-01-2020 09:00,1,6,2,17.360589,78.4740613
72,2020-01-05 18:00:00,01-03-2020 23:00,2020-01-04 11:34:00,Nagpur,244,0,53,F,Knife,Fire Accident,1,Yes,23-03-2020 18:00,1,5,11,21.1498134,79.0820556
74,2020-01-06 05:00:00,01-04-2020 01:00,2020-01-04 03:01:00,Chennai,524,0,36,M,Firearm,Fire Accident,5,Yes,20-01-2020 05:00,1,6,3,13.0836939,80.270186
76,2020-01-06 00:00:00,01-04-2020 03:00,2020-01-04 20:57:00,Delhi,191,19,52,M,Explosives,Other Crime,7,Yes,26-01-2020 00:00,1,6,20,28.6138954,77.2090057
78,2020-01-05 21:00:00,01-04-2020 05:00,2020-01-04 17:02:00,Indore,517,11,58,F,Knife,Violent Crime,10,Yes,29-03-2020 21:00,1,5,17,22.7203616,75.8681996
81,2020-01-05 03:00:00,01-04-2020 08:00,2020-01-04 23:33:00,Delhi,197,1,61,F,Knife,Violent Crime,10,Yes,04-03-2020 03:00,1,5,23,28.6138954,77.2090057
83,2020-01-06 12:00:00,01-04-2020 10:00,2020-01-05 09:17:00,Mumbai,305,15,25,F,Firearm,Violent Crime,14,Yes,21-03-2020 12:00,1,6,9,19.054999,72.8692035
84,2020-01-04 19:00:00,01-04-2020 11:00,2020-01-05 06:13:00,Kolkata,150,18,72,F,Blunt Object,Traffic Fatality,9,Yes,20-01-2020 19:00,1,4,6,22.5726459,88.3638953
86,2020-01-06 17:00:00,01-04-2020 13:00,2020-01-05 06:42:00,Mumbai,438,19,22,M,Other,Other Crime,5,Yes,11-03-2020 17:00,1,6,6,19.054999,72.8692035
87,2020-01-07 06:00:00,01-04-2020 14:00,2020-01-04 16:00:00,Lucknow,498,14,30,F,Firearm,Other Crime,10,Yes,18-01-2020 06:00,1,7,16,26.8381,80.9346001
97,2020-01-06 02:00:00,01-05-2020 00:00,2020-01-05 15:36:00,Nagpur,523,11,26,F,Explosives,Violent Crime,5,Yes,12-02-2020 02:00,1,6,15,21.1498134,79.0820556
99,2020-01-06 23:00:00,01-05-2020 02:00,2020-01-05 14:38:00,Hyderabad,292,11,74,F,Explosives,Violent Crime,15,Yes,23-01-2020 23:00,1,6,14,17.360589,78.4740613
100,2020-01-06 20:00:00,01-05-2020 03:00,2020-01-05 06:41:00,Hyderabad,455,6,13,F,Other,Other Crime,13,Yes,22-01-2020 20:00,1,6,6,17.360589,78.4740613
101,2020-01-06 23:00:00,01-05-2020 04:00,2020-01-05 14:02:00,Ahmedabad,515,14,50,F,Knife,Other Crime,1,Yes,14-01-2020 23:00,1,6,14,23.0215374,72.5800568
104,2020-01-07 16:00:00,01-05-2020 07:00,2020-01-05 14:13:00,Mumbai,250,20,38,F,Poison,Violent Crime,14,Yes,19-02-2020 16:00,1,7,14,19.054999,72.8692035
108,2020-01-07 12:00:00,01-05-2020 11:00,2020-01-06 09:35:00,Bangalore,417,0,21,F,Poison,Fire Accident,3,Yes,09-02-2020 12:00,1,7,9,12.9767936,77.590082
111,2020-01-07 04:00:00,01-05-2020 14:00,2020-01-05 23:24:00,Visakhapatnam,500,12,58,F,Explosives,Other Crime,5,Yes,16-02-2020 04:00,1,7,23,17.6935526,83.2921297
113,2020-01-07 09:00:00,01-05-2020 16:00,2020-01-06 14:55:00,Bangalore,270,10,49,F,Knife,Other Crime,7,Yes,08-11-2021 09:00,1,7,14,12.9767936,77.590082
115,2020-01-07 13:00:00,01-05-2020 18:00,2020-01-06 08:02:00,Pune,184,8,50,F,Blunt Object,Fire Accident,15,Yes,03-02-2020 13:00,1,7,8,18.5213738,73.8545071
117,2020-01-07 04:00:00,01-05-2020 20:00,2020-01-06 10:15:00,Lucknow,235,19,43,M,Poison,Other Crime,14,Yes,13-03-2020 04:00,1,7,10,26.8381,80.9346001
118,2020-01-06 20:00:00,01-05-2020 21:00,2020-01-06 02:16:00,Delhi,287,6,32,M,Explosives,Other Crime,13,Yes,30-03-2020 20:00,1,6,2,28.6138954,77.2090057
119,2020-01-07 19:00:00,01-05-2020 22:00,2020-01-05 23:48:00,Mumbai,257,12,14,M,Poison,Other Crime,3,Yes,27-02-2020 19:00,1,7,23,19.054999,72.8692035
121,2020-01-07 14:00:00,01-06-2020 00:00,2020-01-06 12:16:00,Ahmedabad,277,20,78,F,Firearm,Violent Crime,10,Yes,22-01-2020 14:00,1,7,12,23.0215374,72.5800568
122,2020-01-08 19:00:00,01-06-2020 01:00,2020-01-06 22:59:00,Delhi,321,13,22,F,Other,Other Crime,19,Yes,06-04-2020 19:00,1,8,22,28.6138954,77.2090057
128,2020-01-07 04:00:00,01-06-2020 07:00,2020-01-07 02:17:00,Ghaziabad,339,11,73,F,Knife,Violent Crime,2,Yes,01-04-2020 04:00,1,7,2,28.7749966,77.4586967
130,2020-01-08 14:00:00,01-06-2020 09:00,2020-01-06 14:55:00,Ghaziabad,111,15,33,M,Other,Violent Crime,3,Yes,20-05-2020 14:00,1,8,14,28.7749966,77.4586967
137,2020-01-07 23:00:00,01-06-2020 16:00,2020-01-07 01:01:00,Ahmedabad,569,14,38,F,Explosives,Other Crime,12,Yes,23-01-2020 23:00,1,7,1,23.0215374,72.5800568
140,2020-01-08 16:00:00,01-06-2020 19:00,2020-01-07 01:17:00,Jaipur,404,4,47,F,Firearm,Other Crime,16,Yes,06-02-2020 16:00,1,8,1,26.9154576,75.8189817
142,2020-01-07 23:00:00,01-06-2020 21:00,2020-01-07 06:34:00,Mumbai,113,8,41,F,Blunt Object,Fire Accident,4,Yes,27-03-2020 23:00,1,7,6,19.054999,72.8692035
144,2020-01-07 06:00:00,01-06-2020 23:00,2020-01-07 16:49:00,Varanasi,487,1,79,F,Firearm,Violent Crime,14,Yes,04-02-2020 06:00,1,7,16,25.3356491,83.0076292
147,2020-01-07 16:00:00,01-07-2020 02:00,2020-01-07 18:49:00,Meerut,514,4,44,F,Other,Other Crime,6,Yes,26-01-2020 16:00,1,7,18,29.0018557,77.7679671
150,2020-01-07 08:00:00,01-07-2020 05:00,2020-01-07 11:19:00,Patna,157,17,46,F,Knife,Other Crime,1,Yes,03-04-2020 08:00,1,7,11,25.6093239,85.1235252
151,2020-01-08 08:00:00,01-07-2020 06:00,2020-01-07 13:59:00,Bhopal,241,6,35,F,Blunt Object,Other Crime,3,Yes,27-03-2020 08:00,1,8,13,23.2584857,77.401989
156,2020-01-10 05:00:00,01-07-2020 11:00,2020-01-07 12:05:00,Pune,109,5,71,F,Blunt Object,Violent Crime,14,Yes,02-04-2020 05:00,1,10,12,18.5213738,73.8545071
159,2020-01-09 18:00:00,01-07-2020 14:00,2020-01-08 06:49:00,Delhi,236,20,38,F,Poison,Violent Crime,15,Yes,08-02-2020 18:00,1,9,6,28.6138954,77.2090057
160,2020-01-07 19:00:00,01-07-2020 15:00,2020-01-08 14:26:00,Kolkata,509,1,27,F,Blunt Object,Violent Crime,17,Yes,22-03-2020 19:00,1,7,14,22.5726459,88.3638953
161,2020-01-09 03:00:00,01-07-2020 16:00,2020-01-08 09:21:00,Meerut,321,3,30,F,Knife,Other Crime,13,Yes,19-02-2020 03:00,1,9,9,29.0018557,77.7679671
165,2020-01-10 00:00:00,01-07-2020 20:00,2020-01-08 06:07:00,Ghaziabad,312,16,11,F,Firearm,Violent Crime,9,Yes,23-12-2020 00:00,1,10,6,28.7749966,77.4586967
166,2020-01-10 14:00:00,01-07-2020 21:00,2020-01-08 00:42:00,Ahmedabad,234,19,54,M,Firearm,Other Crime,19,Yes,10-03-2020 14:00,1,10,0,23.0215374,72.5800568
167,2020-01-08 16:00:00,01-07-2020 22:00,2020-01-08 05:25:00,Delhi,470,19,79,M,Explosives,Other Crime,13,Yes,27-01-2020 16:00,1,8,5,28.6138954,77.2090057
168,2020-01-08 22:00:00,01-07-2020 23:00,2020-01-08 02:01:00,Delhi,518,9,12,F,Firearm,Other Crime,3,Yes,04-03-2020 22:00,1,8,2,28.6138954,77.2090057
170,2020-01-10 07:00:00,01-08-2020 01:00,2020-01-08 05:22:00,Kalyan,342,18,21,F,Knife,Traffic Fatality,8,Yes,17-01-2020 07:00,1,10,5,19.2396742,73.1366482
173,2020-01-11 03:00:00,01-08-2020 04:00,2020-01-08 13:20:00,Hyderabad,245,16,51,F,Blunt Object,Violent Crime,17,Yes,29-10-2021 03:00,1,11,13,17.360589,78.4740613
175,2020-01-09 00:00:00,01-08-2020 06:00,2020-01-08 10:27:00,Surat,144,15,64,M,Blunt Object,Violent Crime,13,Yes,15-06-2020 00:00,1,9,10,21.2094892,72.8317058
177,2020-01-08 14:00:00,01-08-2020 08:00,2020-01-09 02:25:00,Chennai,134,8,28,F,Firearm,Fire Accident,8,Yes,21-03-2020 14:00,1,8,2,13.0836939,80.270186
180,2020-01-10 01:00:00,01-08-2020 11:00,2020-01-09 02:31:00,Pune,584,5,72,M,Blunt Object,Violent Crime,14,Yes,23-01-2020 01:00,1,10,2,18.5213738,73.8545071
183,2020-01-10 09:00:00,01-08-2020 14:00,2020-01-08 17:18:00,Ahmedabad,133,16,28,F,Firearm,Violent Crime,12,Yes,09-05-2021 09:00,1,10,17,23.0215374,72.5800568
185,2020-01-08 19:00:00,01-08-2020 16:00,2020-01-08 17:27:00,Mumbai,151,9,67,F,Other,Other Crime,19,Yes,03-03-2020 19:00,1,8,17,19.054999,72.8692035
186,2020-01-11 15:00:00,01-08-2020 17:00,2020-01-09 08:32:00,Bangalore,287,9,70,F,Other,Other Crime,8,Yes,12-03-2020 15:00,1,11,8,12.9767936,77.590082
187,2020-01-09 09:00:00,01-08-2020 18:00,2020-01-09 10:28:00,Delhi,541,19,75,F,Blunt Object,Other Crime,4,Yes,13-02-2020 09:00,1,9,10,28.6138954,77.2090057
189,2020-01-09 04:00:00,01-08-2020 20:00,2020-01-09 03:24:00,Hyderabad,415,7,24,F,Knife,Other Crime,2,Yes,23-03-2020 04:00,1,9,3,17.360589,78.4740613
190,2020-01-11 05:00:00,01-08-2020 21:00,2020-01-08 21:24:00,Chennai,151,4,44,M,Explosives,Other Crime,15,Yes,12-02-2020 05:00,1,11,21,13.0836939,80.270186
192,2020-01-09 02:00:00,01-08-2020 23:00,2020-01-09 20:39:00,Delhi,381,11,18,M,Blunt Object,Violent Crime,11,Yes,20-01-2020 02:00,1,9,20,28.6138954,77.2090057
196,2020-01-10 04:00:00,01-09-2020 03:00,2020-01-10 00:18:00,Lucknow,562,5,56,M,Other,Violent Crime,4,Yes,14-02-2020 04:00,1,10,0,26.8381,80.9346001
197,2020-01-10 10:00:00,01-09-2020 04:00,2020-01-09 15:55:00,Ahmedabad,287,14,32,M,Explosives,Other Crime,1,Yes,24-01-2020 10:00,1,10,15,23.0215374,72.5800568
198,2020-01-11 17:00:00,01-09-2020 05:00,2020-01-09 10:20:00,Hyderabad,316,7,25,F,Explosives,Other Crime,10,Yes,22-01-2020 17:00,1,11,10,17.360589,78.4740613
201,2020-01-11 23:00:00,01-09-2020 08:00,2020-01-10 04:27:00,Srinagar,365,3,27,F,Blunt Object,Other Crime,8,Yes,05-02-2020 23:00,1,11,4,34.0747444,74.8204443
203,2020-01-10 04:00:00,01-09-2020 10:00,2020-01-09 12:58:00,Mumbai,257,6,34,F,Blunt Object,Other Crime,2,Yes,15-03-2020 04:00,1,10,12,19.054999,72.8692035
204,2020-01-11 16:00:00,01-09-2020 11:00,2020-01-09 13:00:00,Lucknow,427,13,16,F,Firearm,Other Crime,5,Yes,14-03-2020 16:00,1,11,13,26.8381,80.9346001
205,2020-01-11 04:00:00,01-09-2020 12:00,2020-01-10 02:34:00,Hyderabad,340,17,59,F,Other,Other Crime,13,Yes,03-03-2020 04:00,1,11,2,17.360589,78.4740613
207,2020-01-11 08:00:00,01-09-2020 14:00,2020-01-10 12:37:00,Bangalore,376,3,21,F,Blunt Object,Other Crime,3,Yes,10-02-2020 08:00,1,11,12,12.9767936,77.590082
210,2020-01-12 03:00:00,01-09-2020 17:00,2020-01-10 06:07:00,Kolkata,573,14,43,F,Knife,Other Crime,18,Yes,14-01-2020 03:00,1,12,6,22.5726459,88.3638953
213,2020-01-11 23:00:00,01-09-2020 20:00,2020-01-10 07:00:00,Kolkata,598,11,19,F,Firearm,Violent Crime,6,Yes,21-01-2020 23:00,1,11,7,22.5726459,88.3638953
214,2020-01-11 05:00:00,01-09-2020 21:00,2020-01-10 02:45:00,Bangalore,239,20,73,M,Explosives,Violent Crime,13,Yes,13-03-2020 05:00,1,11,2,12.9767936,77.590082
215,2020-01-11 16:00:00,01-09-2020 22:00,2020-01-10 00:56:00,Delhi,267,16,44,M,Explosives,Violent Crime,1,Yes,01-09-2021 16:00,1,11,0,28.6138954,77.2090057
222,2020-01-11 08:00:00,01-10-2020 05:00,2020-01-10 05:29:00,Ludhiana,276,13,69,F,Poison,Other Crime,7,Yes,22-01-2020 08:00,1,11,5,30.9090157,75.851601
224,2020-01-12 21:00:00,01-10-2020 07:00,2020-01-10 23:31:00,Chennai,307,15,49,F,Knife,Violent Crime,19,Yes,01-05-2020 21:00,1,12,23,13.0836939,80.270186
225,2020-01-10 19:00:00,01-10-2020 08:00,2020-01-11 00:10:00,Bangalore,153,4,40,F,Firearm,Other Crime,5,Yes,01-04-2020 19:00,1,10,0,12.9767936,77.590082
227,2020-01-12 16:00:00,01-10-2020 10:00,2020-01-10 23:35:00,Mumbai,365,19,35,F,Poison,Other Crime,15,Yes,16-03-2020 16:00,1,12,23,19.054999,72.8692035
229,2020-01-13 05:00:00,01-10-2020 12:00,2020-01-11 04:03:00,Jaipur,247,20,61,F,Other,Violent Crime,18,Yes,25-02-2020 05:00,1,13,4,26.9154576,75.8189817
235,2020-01-12 21:00:00,01-10-2020 18:00,2020-01-10 20:30:00,Mumbai,514,18,23,F,Firearm,Traffic Fatality,19,Yes,14-01-2020 21:00,1,12,20,19.054999,72.8692035
236,2020-01-13 02:00:00,01-10-2020 19:00,2020-01-10 22:34:00,Ludhiana,105,0,14,M,Poison,Fire Accident,12,Yes,07-04-2020 02:00,1,13,22,30.9090157,75.851601
242,2020-01-11 08:00:00,01-11-2020 01:00,2020-01-11 03:03:00,Bangalore,188,19,59,F,Blunt Object,Other Crime,1,Yes,12-02-2020 08:00,1,11,3,12.9767936,77.590082
243,2020-01-12 01:00:00,01-11-2020 02:00,2020-01-11 11:51:00,Pune,512,9,48,F,Knife,Other Crime,4,Yes,06-04-2020 01:00,1,12,11,18.5213738,73.8545071
244,2020-01-13 22:00:00,01-11-2020 03:00,2020-01-11 10:11:00,Kalyan,388,16,18,F,Poison,Violent Crime,19,Yes,21-08-2020 22:00,1,13,10,19.2396742,73.1366482
245,2020-01-13 00:00:00,01-11-2020 04:00,2020-01-11 14:49:00,Nagpur,423,15,58,F,Firearm,Violent Crime,17,Yes,27-06-2020 00:00,1,13,14,21.1498134,79.0820556
247,2020-01-13 11:00:00,01-11-2020 06:00,2020-01-11 08:58:00,Nagpur,432,7,38,F,Blunt Object,Other Crime,6,Yes,24-03-2020 11:00,1,13,8,21.1498134,79.0820556
248,2020-01-14 03:00:00,01-11-2020 07:00,2020-01-11 20:32:00,Ahmedabad,262,11,77,F,Explosives,Violent Crime,13,Yes,28-02-2020 03:00,1,14,20,23.0215374,72.5800568
249,2020-01-13 23:00:00,01-11-2020 08:00,2020-01-12 07:14:00,Thane,293,5,70,F,Explosives,Violent Crime,8,Yes,26-03-2020 23:00,1,13,7,19.3653598,73.3685437
250,2020-01-13 22:00:00,01-11-2020 09:00,2020-01-11 21:57:00,Nagpur,164,7,11,F,Other,Other Crime,17,Yes,23-01-2020 22:00,1,13,21,21.1498134,79.0820556
252,2020-01-13 05:00:00,01-11-2020 11:00,2020-01-11 15:11:00,Thane,182,17,71,F,Firearm,Other Crime,3,Yes,31-03-2020 05:00,1,13,15,19.3653598,73.3685437
253,2020-01-12 03:00:00,01-11-2020 12:00,2020-01-12 01:17:00,Hyderabad,362,18,11,M,Other,Traffic Fatality,10,Yes,06-02-2020 03:00,1,12,1,17.360589,78.4740613
256,2020-01-13 17:00:00,01-11-2020 15:00,2020-01-12 06:45:00,Kolkata,581,14,76,M,Explosives,Other Crime,9,Yes,20-01-2020 17:00,1,13,6,22.5726459,88.3638953
257,2020-01-12 13:00:00,01-11-2020 16:00,2020-01-12 00:13:00,Hyderabad,230,7,47,M,Blunt Object,Other Crime,4,Yes,10-02-2020 13:00,1,12,0,17.360589,78.4740613
259,2020-01-12 22:00:00,01-11-2020 18:00,2020-01-11 22:11:00,Mumbai,151,7,33,M,Poison,Other Crime,8,Yes,02-04-2020 22:00,1,12,22,19.054999,72.8692035
262,2020-01-12 22:00:00,01-11-2020 21:00,2020-01-12 07:49:00,Ghaziabad,145,3,49,M,Blunt Object,Other Crime,13,Yes,06-02-2020 22:00,1,12,7,28.7749966,77.4586967
264,2020-01-13 22:00:00,01-11-2020 23:00,2020-01-12 22:04:00,Kanpur,261,16,69,F,Knife,Violent Crime,11,Yes,18-12-2020 22:00,1,13,22,26.4609135,80.3217588
265,2020-01-12 17:00:00,01-12-2020 00:00,2020-01-12 19:08:00,Visakhapatnam,152,3,79,F,Blunt Object,Other Crime,14,Yes,21-02-2020 17:00,1,12,19,17.6935526,83.2921297
268,2020-01-14 10:00:00,01-12-2020 03:00,2020-01-12 23:31:00,Kanpur,508,13,16,F,Knife,Other Crime,8,Yes,24-01-2020 10:00,1,14,23,26.4609135,80.3217588
270,2020-01-15 00:00:00,01-12-2020 05:00,2020-01-12 07:42:00,Srinagar,491,17,50,M,Explosives,Other Crime,11,Yes,28-02-2020 00:00,1,15,7,34.0747444,74.8204443
272,2020-01-14 20:00:00,01-12-2020 07:00,2020-01-12 23:49:00,Hyderabad,292,14,39,F,Knife,Other Crime,3,Yes,06-02-2020 20:00,1,14,23,17.360589,78.4740613
279,2020-01-14 09:00:00,01-12-2020 14:00,2020-01-13 04:56:00,Chennai,410,18,58,M,Knife,Traffic Fatality,8,Yes,30-01-2020 09:00,1,14,4,13.0836939,80.270186
280,2020-01-13 05:00:00,01-12-2020 15:00,2020-01-13 04:19:00,Ludhiana,217,13,45,F,Blunt Object,Other Crime,18,Yes,07-04-2020 05:00,1,13,4,30.9090157,75.851601
282,2020-01-13 12:00:00,01-12-2020 17:00,2020-01-13 00:49:00,Ludhiana,180,9,62,F,Other,Other Crime,2,Yes,14-03-2020 12:00,1,13,0,30.9090157,75.851601
286,2020-01-15 04:00:00,01-12-2020 21:00,2020-01-13 05:53:00,Mumbai,212,17,38,M,Other,Other Crime,11,Yes,25-03-2020 04:00,1,15,5,19.054999,72.8692035
287,2020-01-13 00:00:00,01-12-2020 22:00,2020-01-13 16:05:00,Pune,244,20,12,F,Explosives,Violent Crime,3,Yes,01-02-2020 00:00,1,13,16,18.5213738,73.8545071
288,2020-01-14 15:00:00,01-12-2020 23:00,2020-01-13 01:39:00,Bangalore,363,11,30,F,Firearm,Violent Crime,9,Yes,29-03-2020 15:00,1,14,1,12.9767936,77.590082
289,2020-01-14 08:00:00,01-13-2020 00:00,2020-01-13 15:29:00,Chennai,550,12,25,F,Blunt Object,Other Crime,3,Yes,25-01-2020 08:00,1,14,15,13.0836939,80.270186
294,2020-01-14 17:00:00,01-13-2020 05:00,2020-01-13 10:55:00,Chennai,562,1,51,F,Blunt Object,Violent Crime,4,Yes,07-02-2020 17:00,1,14,10,13.0836939,80.270186
295,2020-01-15 15:00:00,01-13-2020 06:00,2020-01-13 11:43:00,Bangalore,568,5,48,M,Poison,Violent Crime,6,Yes,07-03-2020 15:00,1,15,11,12.9767936,77.590082
296,2020-01-13 17:00:00,01-13-2020 07:00,2020-01-13 13:14:00,Kolkata,262,19,62,M,Other,Other Crime,4,Yes,25-01-2020 17:00,1,13,13,22.5726459,88.3638953
298,2020-01-15 06:00:00,01-13-2020 09:00,2020-01-14 04:47:00,Kolkata,199,11,32,M,Explosives,Violent Crime,19,Yes,26-01-2020 06:00,1,15,4,22.5726459,88.3638953
300,2020-01-15 07:00:00,01-13-2020 11:00,2020-01-14 04:57:00,Nagpur,256,15,55,F,Blunt Object,Violent Crime,7,Yes,05-04-2020 07:00,1,15,4,21.1498134,79.0820556
305,2020-01-13 22:00:00,01-13-2020 16:00,2020-01-13 16:47:00,Pune,126,18,13,F,Knife,Traffic Fatality,13,Yes,21-01-2020 22:00,1,13,16,18.5213738,73.8545071
307,2020-01-14 01:00:00,01-13-2020 18:00,2020-01-13 22:40:00,Kanpur,528,18,50,F,Firearm,Traffic Fatality,3,Yes,15-01-2020 01:00,1,14,22,26.4609135,80.3217588
309,2020-01-14 12:00:00,01-13-2020 20:00,2020-01-14 17:26:00,Bangalore,577,16,26,M,Firearm,Violent Crime,12,Yes,10-07-2021 12:00,1,14,17,12.9767936,77.590082
310,2020-01-15 17:00:00,01-13-2020 21:00,2020-01-14 16:26:00,Ahmedabad,494,5,35,F,Poison,Violent Crime,9,Yes,30-01-2020 17:00,1,15,16,23.0215374,72.5800568
315,2020-01-16 04:00:00,01-14-2020 02:00,2020-01-14 17:13:00,Kanpur,389,2,60,M,Poison,Other Crime,1,Yes,24-04-2020 04:00,1,16,17,26.4609135,80.3217588
316,2020-01-14 20:00:00,01-14-2020 03:00,2020-01-14 19:05:00,Delhi,361,2,42,M,Other,Other Crime,11,Yes,01-07-2020 20:00,1,14,19,28.6138954,77.2090057
317,2020-01-14 13:00:00,01-14-2020 04:00,2020-01-14 12:47:00,Mumbai,269,5,42,F,Knife,Violent Crime,1,Yes,23-01-2020 13:00,1,14,12,19.054999,72.8692035
325,2020-01-17 07:00:00,01-14-2020 12:00,2020-01-14 20:43:00,Bangalore,589,17,67,F,Explosives,Other Crime,6,Yes,31-01-2020 07:00,1,17,20,12.9767936,77.590082
330,2020-01-17 16:00:00,01-14-2020 17:00,2020-01-15 16:31:00,Surat,570,6,42,F,Other,Other Crime,5,Yes,23-02-2020 16:00,1,17,16,21.2094892,72.8317058
